experiment,m,n,time [s]
1,10,10,2.5e-05
1,10,50,3.4e-05
1,10,100,5.2e-05
1,10,500,0.000199
1,10,1000,0.000376
1,10,5000,0.001863
1,10,10000,0.003652
1,50,10,3.5e-05
1,50,50,0.000109
1,50,100,0.000198
1,50,500,0.00091
1,50,1000,0.001802
1,50,5000,0.00918
1,50,10000,0.018496
1,100,10,5.5e-05
1,100,50,0.000204
1,100,100,0.000386
1,100,500,0.00184
1,100,1000,0.00368
1,100,5000,0.018353
1,100,10000,0.036822
1,500,10,0.000218
1,500,50,0.000945
1,500,100,0.00186
1,500,500,0.009213
1,500,1000,0.018433
1,500,5000,0.093782
1,500,10000,0.18932
1,1000,10,0.000398
1,1000,50,0.001803
1,1000,100,0.003598
1,1000,500,0.017791
1,1000,1000,0.036703
1,1000,5000,0.190612
1,1000,10000,0.380179
1,5000,10,0.001962
1,5000,50,0.009264
1,5000,100,0.018324
1,5000,500,0.095099
1,5000,1000,0.197308
1,5000,5000,0.982525
1,5000,10000,1.97026
1,10000,10,0.003854
1,10000,50,0.018507
1,10000,100,0.036713
1,10000,500,0.190727
1,10000,1000,0.392221
1,10000,5000,1.96709
1,10000,10000,3.94364
1,50000,10,0.019346
1,50000,50,0.096186
1,50000,100,0.192202
1,50000,500,0.967072
1,50000,1000,2
1,50000,5000,10.1077
1,50000,10000,20.5793
1,100000,10,0.038816
1,100000,50,0.21008
1,100000,100,0.412242
1,100000,500,2.15098
1,100000,1000,4.17003
1,100000,5000,22.1444
1,100000,10000,48.6932
2,10,10,2.4e-05
2,10,50,3.5e-05
2,10,100,5.3e-05
2,10,500,0.000193
2,10,1000,0.000367
2,10,5000,0.001798
2,10,10000,0.003602
2,50,10,3.6e-05
2,50,50,0.00011
2,50,100,0.000198
2,50,500,0.000911
2,50,1000,0.001804
2,50,5000,0.009096
2,50,10000,0.018316
2,100,10,5.5e-05
2,100,50,0.000204
2,100,100,0.000386
2,100,500,0.001852
2,100,1000,0.003686
2,100,5000,0.018445
2,100,10000,0.036852
2,500,10,0.000216
2,500,50,0.000951
2,500,100,0.001904
2,500,500,0.00923
2,500,1000,0.018444
2,500,5000,0.093721
2,500,10000,0.189423
2,1000,10,0.000398
2,1000,50,0.001831
2,1000,100,0.003614
2,1000,500,0.017942
2,1000,1000,0.036426
2,1000,5000,0.190271
2,1000,10000,0.382361
2,5000,10,0.001949
2,5000,50,0.009283
2,5000,100,0.018756
2,5000,500,0.094433
2,5000,1000,0.197284
2,5000,5000,0.98146
2,5000,10000,1.97296
2,10000,10,0.003872
2,10000,50,0.01863
2,10000,100,0.036837
2,10000,500,0.19151
2,10000,1000,0.390626
2,10000,5000,1.96737
2,10000,10000,3.94407
2,50000,10,0.019249
2,50000,50,0.094948
2,50000,100,0.191554
2,50000,500,0.973133
2,50000,1000,2.00628
2,50000,5000,10.1295
2,50000,10000,20.4794
2,100000,10,0.039152
2,100000,50,0.209436
2,100000,100,0.410707
2,100000,500,2.09761
2,100000,1000,4.16451
2,100000,5000,21.9031
2,100000,10000,48.8855
3,10,10,2.5e-05
3,10,50,3.4e-05
3,10,100,5.1e-05
3,10,500,0.000194
3,10,1000,0.000386
3,10,5000,0.001884
3,10,10000,0.003731
3,50,10,3.6e-05
3,50,50,0.000112
3,50,100,0.000204
3,50,500,0.000935
3,50,1000,0.001844
3,50,5000,0.009134
3,50,10000,0.018522
3,100,10,5.5e-05
3,100,50,0.000204
3,100,100,0.000386
3,100,500,0.001842
3,100,1000,0.003722
3,100,5000,0.018417
3,100,10000,0.036788
3,500,10,0.00022
3,500,50,0.000948
3,500,100,0.001901
3,500,500,0.009212
3,500,1000,0.018524
3,500,5000,0.093665
3,500,10000,0.189106
3,1000,10,0.000406
3,1000,50,0.001849
3,1000,100,0.0037
3,1000,500,0.018342
3,1000,1000,0.037055
3,1000,5000,0.191378
3,1000,10000,0.380889
3,5000,10,0.001957
3,5000,50,0.00942
3,5000,100,0.018483
3,5000,500,0.095825
3,5000,1000,0.196923
3,5000,5000,0.980405
3,5000,10000,1.96691
3,10000,10,0.003889
3,10000,50,0.018685
3,10000,100,0.037303
3,10000,500,0.196152
3,10000,1000,0.394691
3,10000,5000,1.9689
3,10000,10000,3.95861
3,50000,10,0.019345
3,50000,50,0.097716
3,50000,100,0.19373
3,50000,500,0.972579
3,50000,1000,2.00861
3,50000,5000,10.1235
3,50000,10000,20.5915
3,100000,10,0.038655
3,100000,50,0.205188
3,100000,100,0.414155
3,100000,500,2.1245
3,100000,1000,4.1496
3,100000,5000,21.9722
3,100000,10000,48.8655
